Countries,UN Geoscheme,UN Geoscheme,Forex reserves including gold,Forex reserves including gold,Forex reserves including gold,Forex reserves excluding gold,Forex reserves excluding gold,Forex reserves excluding gold,Ref.
Countries,Continents,Sub-regions,Millions american dollars equivalents,Last reported date,Change,Millions american dollars equivalents,Last reported date,Change,Ref.
Cameroon,Africa,East Africa,"3,459",1-Mar-24,180,No gold reserves,1-Mar-24,,[112]
Ethiopia,Africa,East Africa,"3,430",1-Mar-24,170,No gold reserves,1-Mar-24,,[113]
Ghana,Africa,West Africa,"3,368",1-Mar-24,452,No gold reserves,1-Mar-24,,[114]
Ecuador,Americas,South America,"3,305",1-Mar-24,747,No gold reserves,1-Mar-24,,[115]
Belarus,Europe,Eastern Europe,"8,697",31-Aug-24,165,"4,333",31-Aug-24,,[116]
Kyrgyzstan,Asia,Central Asia,"2,976",1-Mar-24,193,No gold reserves,1-Mar-24,,[117]
Croatia,Europe,Southern Europe,"2,935",1-Mar-24,159,No gold reserves,1-Mar-24,,[118]
Slovenia,Europe,Eastern Europe,"2,519",1-Mar-24,62,No gold reserves,1-Mar-24,,[119]
El Salvador,Americas,Central America,"2,510",1-Mar-24,39,No gold reserves,1-Mar-24,,[120]
Cuba,Americas,Caribbean,"2,500",15-Mar-24,"10,391",No gold reserves,15-Mar-24,,[121]
Kenya,Africa,East Africa,"2,490",5-Mar-24,"1,073",No gold reserves,1-Mar-24,,[122]
Papua New Guinea,Oceania,Melanesia,"2,339",1-Mar-24,500,No gold reserves,1-Mar-24,,[123]
Haiti,Americas,Caribbean,"2,296",1-Mar-24,"1,256",No gold reserves,1-Mar-24,,[124]
Estonia,Europe,Northern Europe,"2,065",1-Mar-24,145,No gold reserves,1-Mar-24,,[125]
Namibia,Africa,Southern Africa,"2,019",1-Mar-24,25,No gold reserves,1-Mar-24,,[126]
Bahamas,Americas,Caribbean,"1,758",1-Mar-24,85,No gold reserves,1-Mar-24,,[127]
Bolivia,Americas,South America,"1,769",1-Mar-24,471,No gold reserves,1-Mar-24,,[128]
Madagascar,Africa,Southern Africa,"1,620",19-Mar-24,127,No gold reserves,19-Mar-24,,[129]
Montenegro,Europe,Southern Europe,"1,558",1-Mar-24,26,No gold reserves,1-Mar-24,,[130]
Mauritania,Africa,Southern Africa,"1,493",1-Mar-24,37,No gold reserves,1-Mar-24,,[131]
Tajikistan,Asia,Central Asia,"1,482",1-Mar-24,19,No gold reserves,1-Mar-24,,[132]
Rwanda,Africa,East Africa,"1,458",1-Mar-24,7,No gold reserves,1-Mar-24,,[133]
Zambia,Africa,Southern Africa,"1,433",1-Mar-24,16,No gold reserves,1-Mar-24,,[134]
Guinea,Africa,West Africa,"1,425",15-Mar-24,33,No gold reserves,15-Mar-24,,[135]
Gabon,Africa,Central Africa,"1,377",1-Mar-24,90,No gold reserves,1-Mar-24,,[136]
Cyprus,Asia,West Asia,"1,271",1-Mar-24,200,No gold reserves,1-Mar-24,,[137]
Luxembourg,Europe,Western Europe,"1,119",5-Mar-24,34,No gold reserves,5-Mar-24,,[138]
Laos,Asia,Southeast Asia,"1,099",1-Mar-24,23,No gold reserves,1-Mar-24,,[139]
Curaçao,Americas,Caribbean,"1,080",20-Mar-24,30,No gold reserves,20-Mar-24,,[140]
Fiji,Oceania,Melanesia,"1,065",5-Mar-24,22,No gold reserves,5-Mar-24,,[141]
Niger,Africa,West Africa,"1,053",1-Mar-24,24,No gold reserves,1-Mar-24,,[142]
Aruba,Americas,Caribbean,"1,017",15-Mar-24,30,No gold reserves,15-Mar-24,,[143]
Bhutan,Asia,South Asia,972,10-Mar-24,3,No gold reserves,10-Mar-24,,[144]
Kosovo,Europe,Southern Europe,950,1-Mar-24,15,No gold reserves,1-Mar-24,,[145]
Malta,Europe,Southern Europe,937,20-Mar-24,9,No gold reserves,20-Mar-24,,[146]
Lesotho,Africa,Southern Africa,785,1-Mar-24,11,No gold reserves,1-Mar-24,,[147]
Barbados,Americas,Caribbean,770,1-Mar-24,2,No gold reserves,1-Mar-24,,[148]
Cape Verde,Africa,West Africa,712,1-Mar-24,25,No gold reserves,1-Mar-24,,[149]
San Marino,Europe,Southern Europe,716,1-Mar-24,243,No gold reserves,1-Mar-24,,[150]
Gambia,Africa,West Africa,698,1-Mar-24,6,No gold reserves,1-Mar-24,,[151]
Palestine,Asia,West Asia,671,1-Mar-24,12,No gold reserves,1-Mar-24,,[152]
Timor-Leste,Asia,Southeast Asia,654,1-Mar-24,2,No gold reserves,1-Mar-24,,[153]
Suriname,Americas,South America,647,8-Mar-24,30,No gold reserves,8-Mar-24,,[154]
Sierra Leone,Africa,West Africa,624,2-Mar-24,2,No gold reserves,2-Mar-24,,[155]
Mali,Africa,Southern Africa,604,1-Mar-24,19,No gold reserves,1-Mar-24,,[156]
Maldives,Asia,South Asia,588,1-Mar-24,180,No gold reserves,1-Mar-24,,[157]
Guyana,Americas,South America,553,10-Mar-24,20,No gold reserves,10-Mar-24,,[158]
Solomon Islands,Oceania,Melanesia,551,8-Mar-24,24,No gold reserves,8-Mar-24,,[159]
Seychelles,Africa,Southern Africa,546,1-Mar-24,19,No gold reserves,1-Mar-24,,[160]
Vanuatu,Oceania,Melanesia,509,1-Mar-24,2,No gold reserves,1-Mar-24,,[161]
Democratic Republic of the Congo,Africa,Southern Africa,505,14-Mar-24,160,No gold reserves,14-Mar-24,,[162]
Djibouti,Africa,East Africa,504,1-Mar-24,3,No gold reserves,1-Mar-24,,[163]
Malawi,Africa,East Africa,488,1-Mar-24,17,No gold reserves,1-Mar-24,,[164]
Eswatini,Africa,Southern Africa,467,1-Mar-24,27,No gold reserves,1-Mar-24,,[165]
Afghanistan,Asia,South Asia,443,1-Oct-24,32,No gold reserves,1-Oct-24,,[166]
Republic of the Congo,Africa,Central Africa,443,1-Mar-24,20,No gold reserves,1-Mar-24,,[167]
Syria,Asia,West Asia,401,1-Mar-24,16,No gold reserves,1-Mar-24,,[168]
Federated States of Micronesia,Oceania,Micronesia,395,1-Mar-24,2,No gold reserves,1-Mar-24,,[169]
Central African Republic,Africa,Central Africa,375,1-Mar-24,14,No gold reserves,1-Mar-24,,[170]
Saint Kitts and Nevis,Americas,Caribbean,365,1-Mar-24,14,No gold reserves,1-Mar-24,,[171]
Liberia,Africa,West Africa,342,1-Mar-24,7,No gold reserves,1-Mar-24,,[172]
Guinea-Bissau,Africa,West Africa,329,1-Mar-24,3,No gold reserves,1-Mar-24,,[173]
Antigua and Barbuda,Americas,Caribbean,285,1-Mar-24,6,No gold reserves,1-Mar-24,,[174]
Belize,Americas,Central America,281,1-Mar-24,4,No gold reserves,1-Mar-24,,[175]
Saint Lucia,Americas,Caribbean,258,1-Mar-24,2,No gold reserves,1-Mar-24,,[176]
Yemen,Asia,West Asia,250,1-Mar-24,5,No gold reserves,1-Mar-24,,[177]
Grenada,Americas,Caribbean,247,1-Mar-24,11,No gold reserves,1-Mar-24,,[178]
Tonga,Oceania,Polynesia,226,1-Mar-24,3,No gold reserves,1-Mar-24,,[179]
